symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,price_bucket,closed,closed_at,peak_price_reached,pct_of_target_reached_if_not_closed
SPCF,under120,20260724T1337Z,morning,11.14,-0.05272108843537408,False,10-120,False,,11.25,0.9894
SPCM,under120,20260724T1337Z,morning,11.34,-0.05263157894736848,False,10-120,False,,11.43,0.9879
LOFF,under120,20260724T1337Z,morning,11.17,-0.052586938083121225,False,10-120,False,,11.24,0.986
RMSG,under120,20260724T1337Z,morning,0.3897,-0.05251641137855582,False,<1,True,2026-07-24T17:10:00Z,0.41,
DVXF,under120,20260724T1337Z,morning,25.5799,-0.052420818670124186,False,10-120,False,,25.5799,0.9801
SPCU,under120,20260724T1337Z,morning,8.89,-0.05223880597014927,False,3-10,False,,8.98,0.9901
ALOY,under120,20260724T1337Z,morning,7.08,-0.052208835341365424,False,3-10,False,,7.2139,0.9978
RKLX,under120,20260724T1337Z,morning,18.72,-0.05215189873417727,False,10-120,False,,19.1475,1.0025
IMOS,under120,20260724T1337Z,morning,56.675,-0.051940448310471794,False,10-120,False,,57.63,0.9969
ONDG,under120,20260724T1337Z,morning,2.75,-0.051724137931034454,False,1-3,True,2026-07-24T15:20:00Z,2.8948,
PLU,under120,20260724T1337Z,morning,9.2,-0.051546391752577324,False,3-10,False,,9.2,0.9798
OKLL,under120,20260724T1337Z,morning,3.13,-0.05151515151515149,False,3-10,False,,3.2179,1.0056
CONL,under120,20260724T1337Z,morning,4.725,-0.051204819277108585,False,3-10,False,,4.91,1.0187
MPG,under120,20260724T1337Z,morning,3.53,-0.0510752688172044,False,3-10,False,,3.53,0.9778
DDFO,under120,20260724T1337Z,morning,21.37,-0.05103622226268135,False,10-120,True,2026-07-24T16:25:00Z,22.555,
ITG,under120,20260724T1337Z,morning,13.08,-0.05079825834542811,False,10-120,True,2026-07-24T19:00:00Z,13.7,
KMEM,under120,20260724T1337Z,morning,18.425,-0.05074703760947962,False,10-120,False,,18.5,0.984
RDWU,under120,20260724T1337Z,morning,5.11,-0.050185873605947874,False,3-10,False,,5.285,1.0125
HODO,under120,20260724T1440Z,morning,0.76,-0.36666666666666664,False,<1,True,2026-07-24T15:00:00Z,0.8175,
ZCMD,under120,20260724T1440Z,morning,1.32,-0.23699421965317916,True,1-3,True,2026-07-24T14:40:00Z,1.44,
IPW,under120,20260724T1440Z,morning,0.6658,-0.19783132530120484,True,<1,True,2026-07-24T19:30:00Z,0.6899,
