symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,price_bucket,closed,closed_at,peak_price_reached,pct_of_target_reached_if_not_closed
BRUN,under120,20260722T1937Z,afternoon,24.1325,-0.05473952213082651,False,10-120,False,,24.24,98.46
BRZE,under120,20260722T1336Z,morning,23.045,-0.05086490939044479,False,10-120,False,,23.23,98.81
BSY,under120,20260722T1937Z,afternoon,29.555,-0.05454254638515681,False,10-120,False,,29.78,98.77
BTGO,under120,20260722T1937Z,afternoon,5.33,-0.05663716814159297,False,3-10,False,,5.385,98.99
BTMD,under120,20260722T1937Z,afternoon,2.35,-0.06746031746031743,False,1-3,False,,2.36,98.33
BTTC,under120,20260722T1637Z,morning,0.98,-0.06666666666666672,False,<1,False,,1.0,100.0
BWB,under120,20260722T1336Z,morning,20.703,-0.05422567382366383,False,10-120,False,,21.015,99.5
BXBL,under120,20260722T1637Z,morning,6.275,-0.21660424469413228,True,3-10,False,,6.4,99.84
BYAH,under120,20260722T1336Z,morning,0.449,-0.1220179898318341,False,<1,True,2026-07-22T16:05:00Z,0.4744,
BYSI,under120,20260722T1937Z,afternoon,1.15,-0.08000000000000007,False,1-3,False,,1.15,97.46
CALM,under120,20260722T1336Z,morning,82.56,-0.05375358166189109,False,10-120,True,2026-07-22T15:20:00Z,86.76,
CBIO,under120,20260722T1637Z,morning,15.645,-0.059795673076923135,False,10-120,True,2026-07-22T19:45:00Z,15.98,
CBLL,under120,20260722T1937Z,afternoon,16.92,-0.054220234768026766,False,10-120,False,,16.95,98.2
CBRZ,under120,20260722T1336Z,morning,13.24,-0.11260053619302947,False,10-120,True,2026-07-22T14:15:00Z,14.21,
CBUS,under120,20260722T1637Z,morning,1.755,-0.056451612903225916,False,1-3,True,2026-07-22T19:35:00Z,1.8,
CCC,under120,20260722T1937Z,afternoon,5.68,-0.06885245901639343,False,3-10,False,,5.75,99.14
CCSI,under120,20260722T1937Z,afternoon,33.98,-0.0589864303517032,False,10-120,False,,34.3225,99.03
CCTG,under120,20260722T1637Z,morning,0.7853,-0.07590021181454461,False,<1,True,2026-07-22T18:35:00Z,0.8104,
